守備,筋力,敏捷,技術,変化,精神,査定
1,0,0,0,0,0,-54.88
2,0,1,1,0,1,-54.88
3,0,1,1,0,1,-54.88
4,0,1,1,0,1,-54.88
5,0,1,1,0,1,-47.04
6,0,1,1,0,1,-47.04
7,0,1,1,0,1,-47.04
8,0,1,1,0,1,-47.04
9,0,1,1,0,1,-47.04
10,0,1,1,0,1,-47.04
11,0,2,2,0,2,-47.04
12,0,2,2,0,2,-47.04
13,0,2,2,0,2,-47.04
14,0,2,2,0,2,-47.04
15,0,2,2,0,2,-39.2
16,0,2,2,0,2,-39.2
17,0,2,2,0,2,-39.2
18,0,2,2,0,2,-39.2
19,0,2,2,0,2,-39.2
20,0,2,2,0,2,-39.2
21,0,3,3,0,3,-39.2
22,0,3,3,0,3,-39.2
23,0,3,3,0,3,-39.2
24,0,3,3,0,3,-39.2
25,0,3,3,0,3,-31.36
26,0,3,3,0,3,-31.36
27,0,3,3,0,3,-31.36
28,0,3,3,0,3,-31.36
29,0,3,3,0,3,-31.36
30,0,3,3,0,3,-7.84
31,0,4,4,0,4,-7.84
32,0,4,4,0,4,-7.84
33,0,4,4,0,4,-7.84
34,0,4,4,0,4,-7.84
35,0,4,4,0,4,0
36,0,4,4,0,4,0
37,0,4,4,0,4,0
38,0,4,4,0,4,0
39,0,4,4,0,4,0
40,0,4,4,0,4,0
41,0,5,5,0,5,0
42,0,5,5,0,5,0
43,0,5,5,0,5,0
44,0,5,5,0,5,0
45,0,5,5,0,5,7.84
46,0,5,5,0,5,7.84
47,0,5,5,0,5,7.84
48,0,5,5,0,5,7.84
49,0,5,5,0,5,7.84
50,0,5,5,0,5,7.84
51,0,6,6,0,6,7.84
52,0,6,6,0,6,7.84
53,0,6,6,0,6,7.84
54,0,6,6,0,6,7.84
55,0,6,6,0,6,15.68
56,0,6,6,0,6,15.68
57,0,6,6,0,6,15.68
58,0,6,6,0,6,15.68
59,0,6,6,0,6,15.68
60,0,6,6,0,6,31.36
61,0,7,7,0,7,31.36
62,0,7,7,0,7,31.36
63,0,7,7,0,7,31.36
64,0,7,7,0,7,31.36
65,0,7,7,0,7,39.2
66,0,7,7,0,7,39.2
67,0,7,7,0,7,39.2
68,0,7,7,0,7,39.2
69,0,7,7,0,7,39.2
70,0,7,7,0,7,62.72
71,0,8,8,0,8,62.72
72,0,8,8,0,8,62.72
73,0,8,8,0,8,62.72
74,0,8,8,0,8,62.72
75,0,8,8,0,8,70.56
76,0,8,8,0,8,70.56
77,0,8,8,0,8,70.56
78,0,8,8,0,8,70.56
79,0,8,8,0,8,70.56
80,0,8,8,0,8,86.24
81,0,9,9,0,9,86.24
82,0,9,9,0,9,86.24
83,0,9,9,0,9,86.24
84,0,9,9,0,9,86.24
85,0,9,9,0,9,94.08
86,0,9,9,0,9,94.08
87,0,9,9,0,9,94.08
88,0,9,9,0,9,94.08
89,0,9,9,0,9,94.08
90,0,9,9,0,9,109.76
91,0,10,10,0,10,109.76
92,0,10,10,0,10,109.76
93,0,10,10,0,10,109.76
94,0,10,10,0,10,109.76
95,0,10,10,0,10,117.6
96,0,10,10,0,10,117.6
97,0,10,10,0,10,117.6
98,0,10,10,0,10,117.6
99,0,10,10,0,10,117.6
100,0,10,10,0,10,117.6
101,0,30,30,0,30,227.36
102,0,10,10,0,10,227.36
103,0,10,10,0,10,227.36
104,0,10,10,0,10,227.36
105,0,10,10,0,10,274.4
106,0,20,20,0,20,274.4
107,0,20,20,0,20,274.4
108,0,20,20,0,20,274.4
109,0,20,20,0,20,274.4
110,0,20,20,0,20,274.4
111,0,30,30,0,30,352.8
112,0,30,30,0,30,352.8
