捕球,筋力,敏捷,技術,変化,精神,査定
1,0,0,0,0,0,-31.36
2,0,1,0,0,3,-31.36
3,0,1,0,0,3,-31.36
4,0,1,0,0,3,-31.36
5,0,1,0,0,3,-23.52
6,0,1,0,0,3,-23.52
7,0,1,0,0,3,-23.52
8,0,1,0,0,3,-23.52
9,0,1,0,0,3,-23.52
10,0,1,0,0,3,-23.52
11,0,1,0,0,4,-23.52
12,0,1,0,0,4,-23.52
13,0,1,0,0,4,-23.52
14,0,1,0,0,4,-23.52
15,0,1,0,0,4,-15.68
16,0,1,0,0,4,-15.68
17,0,1,0,0,4,-15.68
18,0,1,0,0,4,-15.68
19,0,1,0,0,4,-15.68
20,0,1,0,0,4,-15.68
21,0,2,0,0,6,-15.68
22,0,2,0,0,6,-15.68
23,0,2,0,0,6,-15.68
24,0,2,0,0,6,-15.68
25,0,2,0,0,6,-7.84
26,0,2,0,0,6,-7.84
27,0,2,0,0,6,-7.84
28,0,2,0,0,6,-7.84
29,0,2,0,0,6,-7.84
30,0,2,0,0,6,-7.84
31,0,2,0,0,7,-7.84
32,0,2,0,0,7,-7.84
33,0,2,0,0,7,-7.84
34,0,2,0,0,7,-7.84
35,0,2,0,0,7,0
36,0,2,0,0,7,0
37,0,2,0,0,7,0
38,0,2,0,0,7,0
39,0,2,0,0,7,0
40,0,2,0,0,7,0
41,0,3,0,0,9,0
42,0,3,0,0,9,0
43,0,3,0,0,9,0
44,0,3,0,0,9,0
45,0,3,0,0,9,7.84
46,0,3,0,0,9,7.84
47,0,3,0,0,9,7.84
48,0,3,0,0,9,7.84
49,0,3,0,0,9,7.84
50,0,3,0,0,9,7.84
51,0,3,0,0,10,7.84
52,0,3,0,0,10,7.84
53,0,3,0,0,10,7.84
54,0,3,0,0,10,7.84
55,0,3,0,0,10,15.68
56,0,3,0,0,10,15.68
57,0,3,0,0,10,15.68
58,0,3,0,0,10,15.68
59,0,3,0,0,10,15.68
60,0,3,0,0,10,15.68
61,0,4,0,0,12,15.68
62,0,4,0,0,12,15.68
63,0,4,0,0,12,15.68
64,0,4,0,0,12,15.68
65,0,4,0,0,12,23.52
66,0,4,0,0,12,23.52
67,0,4,0,0,12,23.52
68,0,4,0,0,12,23.52
69,0,4,0,0,12,23.52
70,0,4,0,0,12,23.52
71,0,4,0,0,13,23.52
72,0,4,0,0,13,23.52
73,0,4,0,0,13,23.52
74,0,4,0,0,13,23.52
75,0,4,0,0,13,31.36
76,0,4,0,0,13,31.36
77,0,4,0,0,13,31.36
78,0,4,0,0,13,31.36
79,0,4,0,0,13,31.36
80,0,4,0,0,13,31.36
81,0,5,0,0,15,31.36
82,0,5,0,0,15,31.36
83,0,5,0,0,15,31.36
84,0,5,0,0,15,31.36
85,0,5,0,0,15,39.2
86,0,5,0,0,15,39.2
87,0,5,0,0,15,39.2
88,0,5,0,0,15,39.2
89,0,5,0,0,15,39.2
90,0,5,0,0,15,39.2
91,0,5,0,0,16,39.2
92,0,5,0,0,16,39.2
93,0,5,0,0,16,39.2
94,0,5,0,0,16,39.2
95,0,5,0,0,16,47.04
96,0,5,0,0,16,47.04
97,0,5,0,0,16,47.04
98,0,5,0,0,16,47.04
99,0,5,0,0,16,47.04
100,0,5,0,0,16,47.04
101,0,15,0,0,45,172.48
102,0,5,0,0,16,172.48
103,0,5,0,0,16,172.48
104,0,5,0,0,16,172.48
105,0,5,0,0,16,180.32
106,0,10,0,0,32,211.68
107,0,10,0,0,32,211.68
108,0,10,0,0,32,211.68
