得能,筋力,敏捷,技術,変化,精神,査定,区別,下位,互換
チャンス〇,0,15,30,0,105,39.2,青,,
チャンス◎,0,20,40,0,140,19.6,青,チャンス〇,
勝負師,0,24,49,0,171,39.2,金,チャンス◎,
真・勝負師,0,39,78,0,274,182,虹,勝負師,
対左投手◯,48,30,72,0,0,39.2,青,,
対左投手◎,64,40,96,0,0,19.6,青,対左投手◯,
左キラー(野手),78,49,117,0,0,39.2,金,対左投手◎,
盗塁◯,0,108,48,0,42,23.52,青,,
盗塁◎,0,114,64,0,56,7.84,青,盗塁◯,
電光石火,0,176,78,0,68,66.64,金,盗塁◎,
真・電光石火,0,88,39,0,34,168,虹,電光石火,
走塁◯,0,72,48,0,30,14,青,,
走塁◎,0,96,64,0,40,1.68,青,走塁◯,
高速ベースラン,0,117,78,0,49,62.72,金,走塁◎,
送球◯,48,48,48,0,0,14,青,,
送球◎,64,64,64,0,0,1.68,青,送球◯,
ストライク送球,78,78,78,0,0,62.72,金,送球◎,
真・ストライク送球,78,78,78,0,0,154,虹,ストライク送球,
ケガしにくさ◯,108,0,0,0,45,35.28,青,,
ケガしにくさ◎,140,0,0,0,60,23.52,青,ケガしにくさ◯,
鉄人,171,0,0,0,73,29.71,金,ケガしにくさ◎,
キャッチャー◯,9,27,75,0,75,58.8,青,,
キャッチャー◎,12,36,100,0,100,2.27,青,キャッチャー◯,
球界の頭脳,14,44,122,0,122,134.93,金,キャッチャー◎,
真・球界の頭脳,10,31,85,0,85,168,虹,球界の頭脳,
アベレージヒッター,13,25,150,0,63,58.8,青,,
安打製造機,9,17,105,0,44,39.2,金,アベレージヒッター,
真・安打製造機,27,52,315,0,132,182,虹,安打製造機,
パワーヒッター,188,13,50,0,0,58.8,青,,
アーチスト,131,9,35,0,0,39.2,金,パワーヒッター,
真・アーチスト,350,24,94,0,0,168,虹,アーチスト,
ラインドライブ,156,10,75,0,10,58.8,青,,
プルヒッター,125,50,13,0,0,27.44,青,,
伝説の引っ張り屋,87,35,9,0,0,70.56,金,プルヒッター,
広角打法,119,0,119,0,13,58.8,青,,
広角砲,124,0,124,0,13,39.2,金,広角打法,
真・広角砲,187,0,187,0,20,182,虹,広角砲,
内野安打◯,6,63,38,0,19,27.44,青,,
内野安打王,4,44,28,0,13,70.56,金,内野安打◯,
流し打ち,38,25,88,0,38,27.44,青,,
芸術的流し打ち,19,14,72,0,53,70.56,金,流し打ち,
固め打ち,50,0,50,0,25,15.68,青,,
メッタ打ち,35,0,35,0,17,62.72,金,固め打ち,
粘り打ち,0,25,50,0,50,15.68,青,,
悪球打ち,10,20,0,0,20,10.11,青,,
意外性,50,0,25,0,50,15.68,青,,
大番狂わせ,35,0,17,0,35,62.72,金,意外性,
バント◯,0,25,63,0,38,15.68,青,,
バント職人,0,38,100,0,50,7.84,青,バント◯,
初球◯,56,0,56,0,75,27.44,青,,
一球入魂,56,0,56,0,75,70.56,金,初球◯,
代打◯,19,0,0,0,44,15.68,青,,
代打の神様,13,0,0,0,30,62.72,金,代打◯,
チャンスメーカー,31,31,63,0,63,19.6,青,,
切り込み隊長,21,21,44,0,44,78.4,金,チャンスメーカー,
ヘッドスライディング,0,25,19,0,19,7.84,青,,
気迫ヘッド,0,17,13,0,13,70.56,金,ヘッドスライディング,
ホーム突入,50,0,0,0,13,7.84,青,,
重戦車,35,0,0,0,9,70.56,金,ホーム突入,
満塁男,31,0,31,0,63,27.44,青,,
恐怖の満塁男,21,0,21,0,44,50.96,金,満塁男,
サヨナラ男,31,0,63,0,31,27.44,青,,
伝説のサヨナラ男,21,0,44,0,21,50.96,金,サヨナラ男,
逆境◯,25,0,0,0,100,15.68,青,,
火事場の馬鹿力,26,0,0,0,105,62.72,金,逆境◯,
ハイボールヒッター,63,25,38,0,0,27.44,青,,ローボールヒッター
高球必打,44,17,26,0,0,70.56,金,ハイボールヒッター,低球必打
ローボールヒッター,63,25,38,0,0,27.44,青,,ハイボールヒッター
低球必打,44,17,26,0,0,70.56,金,ローボールヒッター,高球必打
対エース◯,63,0,63,0,63,19.6,青,,
エースキラー,44,0,44,0,44,78.4,金,対エース◯,
ムード◯,0,25,0,0,38,0,青,,
精神的支柱,0,35,0,0,53,78.4,金,ムード◯,
威圧感,0,0,0,0,0,58.8,青,,
レーザービーム,63,63,63,0,0,15.68,青,,
高速レーザー,44,44,44,0,0,62.72,金,レーザービーム,
守備職人,0,19,94,0,13,15.68,青,,
魔術師,0,13,65,0,9,62.72,金,守備職人,
高速チャージ,0,50,50,0,25,15.68,青,,
ホーム死守,43,0,10,0,10,7.84,青,,
鉄の壁,30,0,7,0,7,70.56,金,ホーム死守,
プレッシャーラン,0,44,19,0,0,7.84,青,,
いぶし銀,31,0,69,0,88,19.6,青,,
ささやき戦術,14,44,122,0,122,78.4,金,いぶし銀,
追い打ち,46,25,35,0,20,15.68,青,,
ハゲタカ,32,17,24,0,14,62.72,金,追い打ち,
帳尻合わせ,25,0,50,0,50,15.68,青,,
気分屋,0,0,13,0,50,3.92,青,,
ラッキーボーイ,5,53,46,0,84,27.44,青,,
超ラッキーボーイ,3,37,32,0,58,70.56,金,ラッキーボーイ,
連打◯,21,0,88,0,80,19.6,青,,
つるべ打ち,14,0,61,0,56,78.4,金,連打◯,
リベンジ,20,0,40,0,65,15.68,青,,
逆襲,14,0,28,0,45,62.72,金,リベンジ,
