パワー,筋力,敏捷,技術,変化,精神,査定,÷7.84
1,0,0,0,0,0,-148.96,-19
2,3,0,1,0,0,-141.12,-18
3,3,0,1,0,0,-141.12,-18
4,3,0,1,0,0,-141.12,-18
5,3,0,1,0,0,-133.28,-17
6,3,0,1,0,0,-133.28,-17
7,3,0,1,0,0,-133.28,-17
8,3,0,1,0,0,-125.44,-16
9,3,0,1,0,0,-125.44,-16
10,3,0,1,0,0,-125.44,-16
11,6,0,2,0,0,-117.6,-15
12,6,0,2,0,0,-117.6,-15
13,6,0,2,0,0,-117.6,-15
14,6,0,2,0,0,-109.76,-14
15,6,0,2,0,0,-109.76,-14
16,6,0,2,0,0,-109.76,-14
17,6,0,2,0,0,-101.92,-13
18,6,0,2,0,0,-101.92,-13
19,6,0,2,0,0,-101.92,-13
20,6,0,2,0,0,-94.08,-12
21,9,0,3,0,0,-94.08,-12
22,9,0,3,0,0,-94.08,-12
23,9,0,3,0,0,-86.24,-11
24,9,0,3,0,0,-86.24,-11
25,9,0,3,0,0,-86.24,-11
26,9,0,3,0,0,-78.4,-10
27,9,0,3,0,0,-78.4,-10
28,9,0,3,0,0,-78.4,-10
29,9,0,3,0,0,-70.56,-9
30,9,0,3,0,0,-54.88,-7
31,12,0,4,0,0,-54.88,-7
32,12,0,4,0,0,-47.04,-6
33,12,0,4,0,0,-47.04,-6
34,12,0,4,0,0,-47.04,-6
35,12,0,4,0,0,-39.2,-5
36,12,0,4,0,0,-39.2,-5
37,12,0,4,0,0,-39.2,-5
38,12,0,4,0,0,-31.36,-4
39,12,0,4,0,0,-31.36,-4
40,12,0,4,0,0,0,0
41,15,0,5,0,0,7.84,1
42,15,0,5,0,0,7.84,1
43,15,0,5,0,0,7.84,1
44,15,0,5,0,0,15.68,2
45,15,0,5,0,0,15.68,2
46,15,0,5,0,0,15.68,2
47,15,0,5,0,0,23.52,3
48,15,0,5,0,0,23.52,3
49,15,0,5,0,0,23.52,3
50,15,0,5,0,0,31.36,4
51,18,0,6,0,0,31.36,4
52,18,0,6,0,0,31.36,4
53,18,0,6,0,0,39.2,5
54,18,0,6,0,0,39.2,5
55,18,0,6,0,0,39.2,5
56,18,0,6,0,0,47.04,6
57,18,0,6,0,0,47.04,6
58,18,0,6,0,0,47.04,6
59,18,0,6,0,0,54.88,7
60,18,0,6,0,0,94.08,12
61,21,0,7,0,0,94.08,12
62,21,0,7,0,0,101.92,13
63,21,0,7,0,0,101.92,13
64,21,0,7,0,0,101.92,13
65,21,0,7,0,0,109.76,14
66,21,0,7,0,0,109.76,14
67,21,0,7,0,0,109.76,14
68,21,0,7,0,0,117.6,15
69,21,0,7,0,0,117.6,15
70,21,0,7,0,0,133.28,17
71,24,0,8,0,0,141.12,18
72,24,0,8,0,0,141.12,18
73,24,0,8,0,0,141.12,18
74,24,0,8,0,0,148.96,19
75,24,0,8,0,0,148.96,19
76,24,0,8,0,0,148.96,19
77,24,0,8,0,0,156.8,20
78,24,0,8,0,0,156.8,20
79,24,0,8,0,0,156.8,20
80,24,0,8,0,0,188.16,24
81,27,0,9,0,0,188.16,24
82,27,0,9,0,0,188.16,24
83,27,0,9,0,0,196,25
84,27,0,9,0,0,196,25
85,27,0,9,0,0,196,25
86,27,0,9,0,0,203.84,26
87,27,0,9,0,0,203.84,26
88,27,0,9,0,0,203.84,26
89,27,0,9,0,0,211.68,27
90,27,0,9,0,0,250.88,32
91,30,0,10,0,0,250.88,32
92,30,0,10,0,0,258.72,33
93,30,0,10,0,0,258.72,33
94,30,0,10,0,0,258.72,33
95,30,0,10,0,0,266.56,34
96,30,0,10,0,0,266.56,34
97,30,0,10,0,0,266.56,34
98,30,0,10,0,0,274.4,35
99,30,0,10,0,0,274.4,35
100,30,0,10,0,0,274.4,35
101,90,0,30,0,0,376.32,48
102,30,0,10,0,0,376.32,48
