走力,筋力,敏捷,技術,変化,精神,査定,÷7.84
1,0,0,0,0,0,-54.88,-7
2,1,5,0,0,0,-54.88,-7
3,1,5,0,0,0,-54.88,-7
4,1,5,0,0,0,-54.88,-7
5,1,5,0,0,0,-47.04,-6
6,1,5,0,0,0,-47.04,-6
7,1,5,0,0,0,-47.04,-6
8,1,5,0,0,0,-47.04,-6
9,1,5,0,0,0,-47.04,-6
10,1,5,0,0,0,-47.04,-6
11,1,7,0,0,0,-47.04,-6
12,1,7,0,0,0,-47.04,-6
13,1,7,0,0,0,-47.04,-6
14,1,7,0,0,0,-47.04,-6
15,1,7,0,0,0,-39.2,-5
16,1,7,0,0,0,-39.2,-5
17,1,7,0,0,0,-39.2,-5
18,1,7,0,0,0,-39.2,-5
19,1,7,0,0,0,-39.2,-5
20,1,7,0,0,0,-39.2,-5
21,1,9,0,0,0,-39.2,-5
22,1,9,0,0,0,-39.2,-5
23,1,9,0,0,0,-39.2,-5
24,1,9,0,0,0,-39.2,-5
25,1,9,0,0,0,-31.36,-4
26,1,9,0,0,0,-31.36,-4
27,1,9,0,0,0,-31.36,-4
28,1,9,0,0,0,-31.36,-4
29,1,9,0,0,0,-31.36,-4
30,1,9,0,0,0,-7.84,-1
31,2,11,0,0,0,-7.84,-1
32,2,11,0,0,0,-7.84,-1
33,2,11,0,0,0,-7.84,-1
34,2,11,0,0,0,-7.84,-1
35,2,11,0,0,0,0,0
36,2,11,0,0,0,0,0
37,2,11,0,0,0,0,0
38,2,11,0,0,0,0,0
39,2,11,0,0,0,0,0
40,2,11,0,0,0,0,0
41,2,13,0,0,0,0,0
42,2,13,0,0,0,0,0
43,2,13,0,0,0,0,0
44,2,13,0,0,0,0,0
45,2,13,0,0,0,7.84,1
46,2,13,0,0,0,7.84,1
47,2,13,0,0,0,7.84,1
48,2,13,0,0,0,7.84,1
49,2,13,0,0,0,7.84,1
50,2,13,0,0,0,7.84,1
51,3,15,0,0,0,7.84,1
52,3,15,0,0,0,7.84,1
53,3,15,0,0,0,7.84,1
54,3,15,0,0,0,7.84,1
55,3,15,0,0,0,15.68,2
56,3,15,0,0,0,15.68,2
57,3,15,0,0,0,15.68,2
58,3,15,0,0,0,15.68,2
59,3,15,0,0,0,15.68,2
60,3,15,0,0,0,31.36,4
61,3,17,0,0,0,31.36,4
62,3,17,0,0,0,31.36,4
63,3,17,0,0,0,31.36,4
64,3,17,0,0,0,31.36,4
65,3,17,0,0,0,39.2,5
66,3,17,0,0,0,39.2,5
67,3,17,0,0,0,39.2,5
68,3,17,0,0,0,39.2,5
69,3,17,0,0,0,39.2,5
70,3,17,0,0,0,54.88,7
71,4,19,0,0,0,54.88,7
72,4,19,0,0,0,54.88,7
73,4,19,0,0,0,54.88,7
74,4,19,0,0,0,54.88,7
75,4,19,0,0,0,62.72,8
76,4,19,0,0,0,62.72,8
77,4,19,0,0,0,62.72,8
78,4,19,0,0,0,62.72,8
79,4,19,0,0,0,62.72,8
80,4,19,0,0,0,78.4,10
81,4,21,0,0,0,78.4,10
82,4,21,0,0,0,78.4,10
83,4,21,0,0,0,78.4,10
84,4,21,0,0,0,78.4,10
85,4,21,0,0,0,86.24,11
86,4,21,0,0,0,86.24,11
87,4,21,0,0,0,86.24,11
88,4,21,0,0,0,86.24,11
89,4,21,0,0,0,86.24,11
90,4,21,0,0,0,109.76,14
91,5,23,0,0,0,109.76,14
92,5,23,0,0,0,109.76,14
93,5,23,0,0,0,109.76,14
94,5,23,0,0,0,109.76,14
95,5,23,0,0,0,117.6,15
96,5,23,0,0,0,117.6,15
97,5,23,0,0,0,117.6,15
98,5,23,0,0,0,117.6,15
99,5,23,0,0,0,117.6,15
100,5,23,0,0,0,117.6,15
101,15,69,0,0,0,227.36,29
102,5,23,0,0,0,227.36,29
103,5,23,0,0,0,227.36,29
104,5,23,0,0,0,227.36,29
105,5,23,0,0,0,235.2,30
106,10,46,0,0,0,274.4,35
