肩力,筋力,敏捷,技術,変化,精神,査定,÷7.84
1,0,0,0,0,0,-54.88,-7
2,1,1,1,0,0,-54.88,-7
3,1,1,1,0,0,-54.88,-7
4,1,1,1,0,0,-54.88,-7
5,1,1,1,0,0,-47.04,-6
6,1,1,1,0,0,-47.04,-6
7,1,1,1,0,0,-47.04,-6
8,1,1,1,0,0,-47.04,-6
9,1,1,1,0,0,-47.04,-6
10,1,1,1,0,0,-47.04,-6
11,2,2,2,0,0,-47.04,-6
12,2,2,2,0,0,-47.04,-6
13,2,2,2,0,0,-47.04,-6
14,2,2,2,0,0,-47.04,-6
15,2,2,2,0,0,-39.2,-5
16,2,2,2,0,0,-39.2,-5
17,2,2,2,0,0,-39.2,-5
18,2,2,2,0,0,-39.2,-5
19,2,2,2,0,0,-39.2,-5
20,2,2,2,0,0,-39.2,-5
21,3,3,3,0,0,-39.2,-5
22,3,3,3,0,0,-39.2,-5
23,3,3,3,0,0,-39.2,-5
24,3,3,3,0,0,-39.2,-5
25,3,3,3,0,0,-31.36,-4
26,3,3,3,0,0,-31.36,-4
27,3,3,3,0,0,-31.36,-4
28,3,3,3,0,0,-31.36,-4
29,3,3,3,0,0,-31.36,-4
30,3,3,3,0,0,-7.84,-1
31,4,4,4,0,0,-7.84,-1
32,4,4,4,0,0,-7.84,-1
33,4,4,4,0,0,-7.84,-1
34,4,4,4,0,0,-7.84,-1
35,4,4,4,0,0,0,0
36,4,4,4,0,0,0,0
37,4,4,4,0,0,0,0
38,4,4,4,0,0,0,0
39,4,4,4,0,0,0,0
40,4,4,4,0,0,0,0
41,5,5,5,0,0,0,0
42,5,5,5,0,0,0,0
43,5,5,5,0,0,0,0
44,5,5,5,0,0,0,0
45,5,5,5,0,0,7.84,1
46,5,5,5,0,0,7.84,1
47,5,5,5,0,0,7.84,1
48,5,5,5,0,0,7.84,1
49,5,5,5,0,0,7.84,1
50,5,5,5,0,0,7.84,1
51,6,6,6,0,0,7.84,1
52,6,6,6,0,0,7.84,1
53,6,6,6,0,0,7.84,1
54,6,6,6,0,0,7.84,1
55,6,6,6,0,0,15.68,2
56,6,6,6,0,0,15.68,2
57,6,6,6,0,0,15.68,2
58,6,6,6,0,0,15.68,2
59,6,6,6,0,0,15.68,2
60,6,6,6,0,0,31.36,4
61,7,7,7,0,0,31.36,4
62,7,7,7,0,0,31.36,4
63,7,7,7,0,0,31.36,4
64,7,7,7,0,0,31.36,4
65,7,7,7,0,0,39.2,5
66,7,7,7,0,0,39.2,5
67,7,7,7,0,0,39.2,5
68,7,7,7,0,0,39.2,5
69,7,7,7,0,0,39.2,5
70,7,7,7,0,0,54.88,7
71,8,8,8,0,0,54.88,7
72,8,8,8,0,0,54.88,7
73,8,8,8,0,0,54.88,7
74,8,8,8,0,0,54.88,7
75,8,8,8,0,0,62.72,8
76,8,8,8,0,0,62.72,8
77,8,8,8,0,0,62.72,8
78,8,8,8,0,0,62.72,8
79,8,8,8,0,0,62.72,8
80,8,8,8,0,0,78.4,10
81,9,9,9,0,0,78.4,10
82,9,9,9,0,0,78.4,10
83,9,9,9,0,0,78.4,10
84,9,9,9,0,0,78.4,10
85,9,9,9,0,0,86.24,11
86,9,9,9,0,0,86.24,11
87,9,9,9,0,0,86.24,11
88,9,9,9,0,0,86.24,11
89,9,9,9,0,0,86.24,11
90,9,9,9,0,0,109.76,14
91,10,10,10,0,0,109.76,14
92,10,10,10,0,0,109.76,14
93,10,10,10,0,0,109.76,14
94,10,10,10,0,0,109.76,14
95,10,10,10,0,0,117.6,15
96,10,10,10,0,0,117.6,15
97,10,10,10,0,0,117.6,15
98,10,10,10,0,0,117.6,15
99,10,10,10,0,0,117.6,15
100,10,10,10,0,0,117.6,15
101,30,30,30,0,0,227.36,29
102,10,10,10,0,0,227.36,29
103,10,10,10,0,0,227.36,29
104,10,10,10,0,0,227.36,29
105,10,10,10,0,0,235.2,30
106,20,20,20,0,0,274.4,35
