守備,筋力,敏捷,技術,変化,精神,査定,÷7.84
1,0,0,0,0,0,-54.88,-7
2,0,1,1,0,1,-54.88,-7
3,0,1,1,0,1,-54.88,-7
4,0,1,1,0,1,-54.88,-7
5,0,1,1,0,1,-47.04,-6
6,0,1,1,0,1,-47.04,-6
7,0,1,1,0,1,-47.04,-6
8,0,1,1,0,1,-47.04,-6
9,0,1,1,0,1,-47.04,-6
10,0,1,1,0,1,-47.04,-6
11,0,2,2,0,2,-47.04,-6
12,0,2,2,0,2,-47.04,-6
13,0,2,2,0,2,-47.04,-6
14,0,2,2,0,2,-47.04,-6
15,0,2,2,0,2,-39.2,-5
16,0,2,2,0,2,-39.2,-5
17,0,2,2,0,2,-39.2,-5
18,0,2,2,0,2,-39.2,-5
19,0,2,2,0,2,-39.2,-5
20,0,2,2,0,2,-39.2,-5
21,0,3,3,0,3,-39.2,-5
22,0,3,3,0,3,-39.2,-5
23,0,3,3,0,3,-39.2,-5
24,0,3,3,0,3,-39.2,-5
25,0,3,3,0,3,-31.36,-4
26,0,3,3,0,3,-31.36,-4
27,0,3,3,0,3,-31.36,-4
28,0,3,3,0,3,-31.36,-4
29,0,3,3,0,3,-31.36,-4
30,0,3,3,0,3,-7.84,-1
31,0,4,4,0,4,-7.84,-1
32,0,4,4,0,4,-7.84,-1
33,0,4,4,0,4,-7.84,-1
34,0,4,4,0,4,-7.84,-1
35,0,4,4,0,4,0,0
36,0,4,4,0,4,0,0
37,0,4,4,0,4,0,0
38,0,4,4,0,4,0,0
39,0,4,4,0,4,0,0
40,0,4,4,0,4,0,0
41,0,5,5,0,5,0,0
42,0,5,5,0,5,0,0
43,0,5,5,0,5,0,0
44,0,5,5,0,5,0,0
45,0,5,5,0,5,7.84,1
46,0,5,5,0,5,7.84,1
47,0,5,5,0,5,7.84,1
48,0,5,5,0,5,7.84,1
49,0,5,5,0,5,7.84,1
50,0,5,5,0,5,7.84,1
51,0,6,6,0,6,7.84,1
52,0,6,6,0,6,7.84,1
53,0,6,6,0,6,7.84,1
54,0,6,6,0,6,7.84,1
55,0,6,6,0,6,15.68,2
56,0,6,6,0,6,15.68,2
57,0,6,6,0,6,15.68,2
58,0,6,6,0,6,15.68,2
59,0,6,6,0,6,15.68,2
60,0,6,6,0,6,31.36,4
61,0,7,7,0,7,31.36,4
62,0,7,7,0,7,31.36,4
63,0,7,7,0,7,31.36,4
64,0,7,7,0,7,31.36,4
65,0,7,7,0,7,39.2,5
66,0,7,7,0,7,39.2,5
67,0,7,7,0,7,39.2,5
68,0,7,7,0,7,39.2,5
69,0,7,7,0,7,39.2,5
70,0,7,7,0,7,62.72,8
71,0,8,8,0,8,62.72,8
72,0,8,8,0,8,62.72,8
73,0,8,8,0,8,62.72,8
74,0,8,8,0,8,62.72,8
75,0,8,8,0,8,70.56,9
76,0,8,8,0,8,70.56,9
77,0,8,8,0,8,70.56,9
78,0,8,8,0,8,70.56,9
79,0,8,8,0,8,70.56,9
80,0,8,8,0,8,86.24,11
81,0,9,9,0,9,86.24,11
82,0,9,9,0,9,86.24,11
83,0,9,9,0,9,86.24,11
84,0,9,9,0,9,86.24,11
85,0,9,9,0,9,94.08,12
86,0,9,9,0,9,94.08,12
87,0,9,9,0,9,94.08,12
88,0,9,9,0,9,94.08,12
89,0,9,9,0,9,94.08,12
90,0,9,9,0,9,109.76,14
91,0,10,10,0,10,109.76,14
92,0,10,10,0,10,109.76,14
93,0,10,10,0,10,109.76,14
94,0,10,10,0,10,109.76,14
95,0,10,10,0,10,117.6,15
96,0,10,10,0,10,117.6,15
97,0,10,10,0,10,117.6,15
98,0,10,10,0,10,117.6,15
99,0,10,10,0,10,117.6,15
100,0,10,10,0,10,117.6,15
101,0,30,30,0,30,227.36,29
102,0,10,10,0,10,227.36,29
103,0,10,10,0,10,227.36,29
104,0,10,10,0,10,227.36,29
105,0,10,10,0,10,274.4,35
106,0,20,20,0,20,274.4,35
107,0,20,20,0,20,274.4,35
108,0,20,20,0,20,274.4,35
109,0,20,20,0,20,274.4,35
110,0,20,20,0,20,274.4,35
111,0,30,30,0,30,352.8,45
112,0,30,30,0,30,352.8,45
