捕球,筋力,敏捷,技術,変化,精神,査定,÷7.84
1,0,0,0,0,0,-31.36,-4
2,0,1,0,0,3,-31.36,-4
3,0,1,0,0,3,-31.36,-4
4,0,1,0,0,3,-31.36,-4
5,0,1,0,0,3,-23.52,-3
6,0,1,0,0,3,-23.52,-3
7,0,1,0,0,3,-23.52,-3
8,0,1,0,0,3,-23.52,-3
9,0,1,0,0,3,-23.52,-3
10,0,1,0,0,3,-23.52,-3
11,0,1,0,0,4,-23.52,-3
12,0,1,0,0,4,-23.52,-3
13,0,1,0,0,4,-23.52,-3
14,0,1,0,0,4,-23.52,-3
15,0,1,0,0,4,-15.68,-2
16,0,1,0,0,4,-15.68,-2
17,0,1,0,0,4,-15.68,-2
18,0,1,0,0,4,-15.68,-2
19,0,1,0,0,4,-15.68,-2
20,0,1,0,0,4,-15.68,-2
21,0,2,0,0,6,-15.68,-2
22,0,2,0,0,6,-15.68,-2
23,0,2,0,0,6,-15.68,-2
24,0,2,0,0,6,-15.68,-2
25,0,2,0,0,6,-7.84,-1
26,0,2,0,0,6,-7.84,-1
27,0,2,0,0,6,-7.84,-1
28,0,2,0,0,6,-7.84,-1
29,0,2,0,0,6,-7.84,-1
30,0,2,0,0,6,-7.84,-1
31,0,2,0,0,7,-7.84,-1
32,0,2,0,0,7,-7.84,-1
33,0,2,0,0,7,-7.84,-1
34,0,2,0,0,7,-7.84,-1
35,0,2,0,0,7,0,0
36,0,2,0,0,7,0,0
37,0,2,0,0,7,0,0
38,0,2,0,0,7,0,0
39,0,2,0,0,7,0,0
40,0,2,0,0,7,0,0
41,0,3,0,0,9,0,0
42,0,3,0,0,9,0,0
43,0,3,0,0,9,0,0
44,0,3,0,0,9,0,0
45,0,3,0,0,9,7.84,1
46,0,3,0,0,9,7.84,1
47,0,3,0,0,9,7.84,1
48,0,3,0,0,9,7.84,1
49,0,3,0,0,9,7.84,1
50,0,3,0,0,9,7.84,1
51,0,3,0,0,10,7.84,1
52,0,3,0,0,10,7.84,1
53,0,3,0,0,10,7.84,1
54,0,3,0,0,10,7.84,1
55,0,3,0,0,10,15.68,2
56,0,3,0,0,10,15.68,2
57,0,3,0,0,10,15.68,2
58,0,3,0,0,10,15.68,2
59,0,3,0,0,10,15.68,2
60,0,3,0,0,10,15.68,2
61,0,4,0,0,12,15.68,2
62,0,4,0,0,12,15.68,2
63,0,4,0,0,12,15.68,2
64,0,4,0,0,12,15.68,2
65,0,4,0,0,12,23.52,3
66,0,4,0,0,12,23.52,3
67,0,4,0,0,12,23.52,3
68,0,4,0,0,12,23.52,3
69,0,4,0,0,12,23.52,3
70,0,4,0,0,12,23.52,3
71,0,4,0,0,13,23.52,3
72,0,4,0,0,13,23.52,3
73,0,4,0,0,13,23.52,3
74,0,4,0,0,13,23.52,3
75,0,4,0,0,13,31.36,4
76,0,4,0,0,13,31.36,4
77,0,4,0,0,13,31.36,4
78,0,4,0,0,13,31.36,4
79,0,4,0,0,13,31.36,4
80,0,4,0,0,13,31.36,4
81,0,5,0,0,15,31.36,4
82,0,5,0,0,15,31.36,4
83,0,5,0,0,15,31.36,4
84,0,5,0,0,15,31.36,4
85,0,5,0,0,15,39.2,5
86,0,5,0,0,15,39.2,5
87,0,5,0,0,15,39.2,5
88,0,5,0,0,15,39.2,5
89,0,5,0,0,15,39.2,5
90,0,5,0,0,15,39.2,5
91,0,5,0,0,16,39.2,5
92,0,5,0,0,16,39.2,5
93,0,5,0,0,16,39.2,5
94,0,5,0,0,16,39.2,5
95,0,5,0,0,16,47.04,6
96,0,5,0,0,16,47.04,6
97,0,5,0,0,16,47.04,6
98,0,5,0,0,16,47.04,6
99,0,5,0,0,16,47.04,6
100,0,5,0,0,16,47.04,6
101,0,15,0,0,45,172.48,22
102,0,5,0,0,16,172.48,22
103,0,5,0,0,16,172.48,22
104,0,5,0,0,16,172.48,22
105,0,5,0,0,16,180.32,23
106,0,10,0,0,32,211.68,27
107,0,10,0,0,32,211.68,27
108,0,10,0,0,32,211.68,27
