格,筋力,敏捷,技術,変化,精神,査定,÷7.84
0,0,0,0,0,0,0,0
1,48,72,0,0,120,0,0
2,48,72,0,0,120,0,0
3,48,72,0,0,120,0,0
4,48,72,0,0,120,0,0
5,48,72,0,0,120,0,0
6,48,72,0,0,120,0,0
7,48,72,0,0,120,0,0
8,48,72,0,0,120,0,0
9,48,72,0,0,120,0,0
10,48,72,0,0,120,313.6,40
11,54,81,0,0,135,313.6,40
12,54,81,0,0,135,313.6,40
13,54,81,0,0,135,313.6,40
14,54,81,0,0,135,313.6,40
15,54,81,0,0,135,313.6,40
16,54,81,0,0,135,313.6,40
17,54,81,0,0,135,313.6,40
18,54,81,0,0,135,313.6,40
19,54,81,0,0,135,313.6,40
20,54,81,0,0,135,352.8,45
21,60,90,0,0,150,352.8,45
22,60,90,0,0,150,352.8,45
23,60,90,0,0,150,352.8,45
24,60,90,0,0,150,352.8,45
25,60,90,0,0,150,352.8,45
26,60,90,0,0,150,352.8,45
27,60,90,0,0,150,352.8,45
28,60,90,0,0,150,352.8,45
29,60,90,0,0,150,352.8,45
30,60,90,0,0,150,392,50
