集客力,筋力,敏捷,技術,変化,精神,査定,÷7.84
0,0,0,0,0,0,0,0
1,72,48,120,0,0,0,0
2,72,48,120,0,0,0,0
3,72,48,120,0,0,0,0
4,72,48,120,0,0,0,0
5,72,48,120,0,0,0,0
6,72,48,120,0,0,0,0
7,72,48,120,0,0,0,0
8,72,48,120,0,0,0,0
9,72,48,120,0,0,0,0
10,72,48,120,0,0,313.6,40
11,81,54,135,0,0,313.6,40
12,81,54,135,0,0,313.6,40
13,81,54,135,0,0,313.6,40
14,81,54,135,0,0,313.6,40
15,81,54,135,0,0,313.6,40
16,81,54,135,0,0,313.6,40
17,81,54,135,0,0,313.6,40
18,81,54,135,0,0,313.6,40
19,81,54,135,0,0,313.6,40
20,81,54,135,0,0,352.8,45
21,90,60,150,0,0,352.8,45
22,90,60,150,0,0,352.8,45
23,90,60,150,0,0,352.8,45
24,90,60,150,0,0,352.8,45
25,90,60,150,0,0,352.8,45
26,90,60,150,0,0,352.8,45
27,90,60,150,0,0,352.8,45
28,90,60,150,0,0,352.8,45
29,90,60,150,0,0,352.8,45
30,90,60,150,0,0,392,50
