,筋力,敏捷,技術,変化,精神,査定,区別
チャンス〇,0,15,30,0,105,42,青
チャンス◎,0,20,40,0,140,28,青
勝負師,0,24,49,0,171,28,金
真・勝負師,0,39,78,0,274,182,虹
対左投手○,48,30,72,0,0,42,青
対左投手◎,64,40,96,0,0,28,青
左キラー(野手),78,49,117,0,0,28,金
盗塁○,0,108,48,0,42,28,青
盗塁◎,0,114,64,0,56,14,青
電光石火,0,176,78,0,68,56,金
真・電光石火,0,88,39,0,34,168,虹
走塁○,0,72,48,0,30,14,青
走塁◎,0,96,64,0,40,0,青
高速ベースラン,0,117,78,0,49,70,金
送球○,48,48,48,0,0,14,青
送球◎,64,64,64,0,0,0,青
ストライク送球,78,78,78,0,0,70,金
真・ストライク送球,78,78,78,0,0,154,虹
ケガしにくさ○,,,,,,42,青
ケガしにくさ◎,,,,,,28,青
鉄人,,,,,,28,金
キャッチャー○,,,,,,70,青
キャッチャー◎,,,,,,0,青
球界の頭脳,,,,,,126,金
真・球界の頭脳,,,,,,168,虹
アベレージヒッター,,,,,,70,青
安打製造機,,,,,,28,金
真・安打製造機,,,,,,182,虹
パワーヒッター,,,,,,70,青
アーチスト,,,,,,28,金
真・アーチスト,,,,,,168,虹
プルヒッター,,,,,,28,青
伝説の引っ張り屋,,,,,,70,金
広角打法,,,,,,70,青
広角砲,,,,,,28,金
真・広角砲,,,,,,182,虹
内野安打○,,,,,,28,青
内野安打王,,,,,,70,金
流し打ち,,,,,,28,青
芸術的流し打ち,,,,,,70,金
固め打ち,,,,,,14,青
メッタ打ち,,,,,,70,金
粘り打ち,,,,,,14,青
悪球打ち,,,,,,14,青
意外性,,,,,,14,青
大番狂わせ,,,,,,70,金
バント○,,,,,,14,青
バント職人,,,,,,14,青
初球○,,,,,,28,青
一球入魂,,,,,,70,金
代打○,,,,,,14,青
代打の神様,,,,,,70,金
チャンスメーカー,,,,,,28,青
切り込み隊長,,,,,,70,金
ヘッドスライディング,,,,,,28,青
気迫ヘッド,,,,,,70,金
ホーム突入,,,,,,14,青
重戦車,,,,,,70,金
満塁男,,,,,,28,青
恐怖の満塁男,,,,,,56,金
サヨナラ男,,,,,,28,青
伝説のサヨナラ男,,,,,,56,金
逆境○,,,,,,14,青
火事場の馬鹿力,,,,,,70,金
ハイボールヒッター,,,,,,28,青
高球必打,,,,,,70,金
ローボールヒッター,,,,,,28,青
低球必打,,,,,,70,金
対エース○,,,,,,28,青
エースキラー,,,,,,70,金
ムード○,,,,,,0,青
精神的支柱,,,,,,84,金
威圧感,,,,,,70,青
レーザービーム,,,,,,14,青
高速レーザー,,,,,,70,金
守備職人,,,,,,14,青
魔術師,,,,,,70,金
高速チャージ,,,,,,14,青
ホーム死守,,,,,,14,青
鉄の壁,,,,,,70,金
プレッシャーラン,,,,,,14,青
いぶし銀,,,,,,28,青
ささやき戦術,,,,,,84,金
追い打ち,,,,,,14,青
ハゲタカ,,,,,,70,金
帳尻合わせ,,,,,,14,青
気分屋,,,,,,14,青
ラッキーボーイ,,,,,,28,青
超ラッキーボーイ,,,,,,70,金
連打○,,,,,,28,青
つるべ打ち,,,,,,70,金
リベンジ,,,,,,14,青
逆襲,,,,,,70,金
インコース○,,,,,,28,青
内角必打,,,,,,70,金
アウトコース◯,,,,,,28,青
外角必打,,,,,,70,金
ささやき破り,,,,,,42,青
本塁生還,,,,,,42,青
帰巣本能,,,,,,70,金
ラッキーセブン,,,,,,14,青
バズーカ,,,,,,84,金
司令塔,,,,,,84,金
競争心,,,,,,14,青
切磋琢磨,,,,,,70,金
打球ノビ○,,,,,,42,青
打球ノビ◎,,,,,,28,青
ローリング打法,,,,,,28,金
盗塁アシスト,,,,,,14,青
アイコンタクト,,,,,,84,金
速攻◯,,,,,,28,青
上り調子,,,,,,28,青
昇り龍,,,,,,70,金
窮地◯,,,,,,14,青
ヒートアップ,,,,,,70,金
読心術,,,,,,98,金
情熱エール,,,,,,84,金
打開,,,,,,28,青
一番槍,,,,,,70,金
接戦◯,,,,,,14,青
祝福,,,,,,84,金
鼓舞,,,,,,14,青
ミラクルボイス,,,,,,70,金
かく乱,,,,,,14,青
トリックスター,,,,,,70,金
挑発,,,,,,70,金
一発逆転,,,,,,14,青
一発逆転王,,,,,,70,金
一掃,,,,,,28,青
スイープ,,,,,,70,金
初撃,,,,,,28,青
洗礼の一撃,,,,,,70,金
冷静,,,,,,42,青
明鏡止水,,,,,,56,金
サイン察知,,,,,,14,青
看破,,,,,,70,金
四番○,,,,,,42,青
不動の四番,,,,,,56,金
孤高,,,,,,14,青
孤軍奮闘,,,,,,70,金
走力ブースト,,,,,,14,青
走力バースト,,,,,,112,金
ファースト○,,,,,,14,青
至高の一塁手,,,,,,210,金
セカンド○,,,,,,14,青
至高の二塁手,,,,,,210,金
サード○,,,,,,14,青
至高の三塁手,,,,,,210,金
ショート○,,,,,,14,青
至高の遊撃手,,,,,,210,金
アウトフィールダー○,,,,,,14,青
至高の外野手,,,,,,210,金
守備移動○,,,,,,28,青
牛若丸,,,,,,98,金
痛打,,,,,,28,青
大打撃,,,,,,98,金
チャンスボール,,,,,,14,青
ホームランボール,,,,,,126,金
心眼,,,,,,98,金
対ストレート◯,,,,,,28,青
ストレートキラー,,,,,,98,金
対変化球◯,,,,,,28,青
カット打ち,,,,,,14,青
ラインドライブ,,,,,,70,青
調子安定,,,,,,14,緑
選球眼,,,,,,14,緑
